sample,group,pinene,ocymene,carene,B_phellandrene,elemene,zingiberene,caryophyllene,zingiberenol,epoxy-zingiberenol
C12,F1,2169,300,63282,209704,30021,8689,226,264,64
C15,F1,69430,31708,1099774,4404954,354662,39882,1425,3567,1310
C3,F1,13010,2130,189058,860192,36341,324848,8370,2612,786
C6,F1,51095,4401,344858,1623249,20701,170181,10420,3221,2832
C9,F1,4772,1307,88797,344526,57056,41405,1298,1028,1735
14830-001,F2,144,0,0,6497,327465,197484,36288,6751,7008
14830-002,F2,237,0,55,6754,64478,324974,20288,857,931
14830-003,F2,71,0,38,413,120013,291016,53222,5391,5344
14830-004,F2,33,0,0,3475,64352,42903,4752,926,265
14830-005,F2,102,0,0,1174,411249,56766,3873,2594,4476
14830-006,F2,86,0,49,8824,7632,55485,9340,996,1000
14830-007,F2,41,0,0,1803,193261,132617,5350,12945,6713
14830-008,F2,40,0,0,9031,69826,33870,268,432,82
14830-009,F2,82,4,253,137172,315670,261777,60069,15673,8051
14830-010,F2,33,0,0,4355,204385,275931,22684,10570,6369
14830-011,F2,236,0,47,66591,125503,129515,14617,11092,13379
14830-012,F2,202,0,0,12638,32124,24903,1628,234,261
14830-013,F2,61,0,38,3697,88050,219923,7020,3740,10308
14830-014,F2,206,0,66,5255,137490,534305,31447,15801,14387
14830-015,F2,29,0,0,1087,29818,89718,1834,227,665
14830-016,F2,4,34,0,2943,163367,125779,8318,6809,2517
14830-018,F2,71,0,36,6665,12654,90656,1287,761,873
14830-019,F2,80,0,0,8141,357155,484976,45826,6907,14848
14830-020,F2,142,0,49,8276,179162,237206,31804,29936,10089
14830-021,F2,312,0,38,851,285138,139747,47749,1274,985
14830-022,F2,48,0,0,3343,390224,64195,3600,3046,6993
14830-023,F2,145,0,33,1159,213103,82944,34546,1642,3016
14830-024,F2,51,0,0,357,67612,25385,438,238,1999
14830-025,F2,56,0,0,1851,106857,162009,37622,28149,6257
14830-026,F2,32,0,0,295,3779,152003,8381,1762,5339
14830-027,F2,88,0,33,4844,289894,109399,13572,16316,26164
14830-028,F2,71,0,43,2376,242511,298024,33935,5979,5004
14830-029,F2,208,0,0,1447,15947,181422,13889,2340,946
14830-030,F2,82,0,0,1364,21137,47382,3148,1110,492
14830-031,F2,111,0,0,268,2607,41946,2475,2943,1674
14830-032,F2,52,0,0,592,4441,106218,3883,5008,2124
14830-033,F2,42,0,34,1006,237805,184765,18121,12001,1730
14830-034,F2,40,0,66,4179,189819,305204,54334,19433,14359
14830-036,F2,37,0,27,508,194310,56200,3635,2113,2122
14830-037,F2,0,0,0,128,15988,27428,88,110,207
14830-038,F2,56,0,59,1714,344333,213250,24292,10774,16691
14830-040,F2,41,0,0,1232,204620,74193,10329,3202,3810
14830-041,F2,83,0,0,662,4564,28243,1491,1669,619
14830-042,F2,99,0,0,394,102027,57182,4701,2154,1153
14830-043,F2,0,0,109,4991,434933,730531,70688,17458,14140
14830-044,F2,239,0,128,1985,274200,472707,23433,9833,8374
14830-045,F2,124,0,0,980,96265,84316,5854,1708,1895
14830-046,F2,48,0,0,2514,112459,99442,27252,6405,962
14830-047,F2,40,0,0,1020,210000,55459,4576,1419,1421
14830-048,F2,40,0,0,1957,214848,92003,10097,3043,3257
14830-049,F2,57,0,0,963,174566,91915,8070,3208,1677
14830-050,F2,72,0,83,386,118686,158061,7979,13230,3616
14830-051,F2,0,0,0,1414,132564,503338,17778,3563,3027
14830-052,F2,49,0,0,134,71379,183471,38968,2465,2692
14830-053,F2,32,0,0,523,82622,133925,9407,3886,1984
14830-054,F2,37,0,0,1099,13767,216676,4678,1982,2194
14830-055,F2,43,0,0,392,55350,224292,15647,5307,3797
14830-056,F2,33,0,0,2561,557218,100618,5677,1190,2194
14830-057,F2,68,0,0,491,103562,31912,725,315,377
14830-058,F2,39,0,0,1211,260583,38669,2665,469,548
14830-059,F2,38,0,0,875,309485,148758,73482,18965,3195
14830-060,F2,47,0,32,1319,150445,311173,20559,9993,4223
14830-061,F2,81,0,0,304,33702,153118,6662,5050,2419
14830-062,F2,30279,11663,435653,1981414,93334,87120,666,2303,638
14830-063,F2,196,233,4487,23866,31849,40182,637,108,711
14830-064,F2,35,0,166,3521,147642,107550,13832,4773,2277
14830-066,F2,74,0,209,20528,249028,1337830,115767,36585,30132
14830-067,F2,192,0,34,3106,297241,234928,14714,3546,3233
14830-068,F2,97,0,40,1330,172125,146370,17036,3952,5983
14830-069,F2,40,0,0,1533,281356,63895,2958,1775,564
14830-070,F2,98,0,0,3082,358816,82824,19539,3370,2917
14830-071,F2,129,0,0,8537,546766,159758,34935,15642,15313
14830-072,F2,0,1,0,991,59894,58141,11159,6040,2446
14830-073,F2,38,0,19,3982,106901,372217,29211,12470,13983
14830-074,F2,66,0,0,1796,159995,71854,7746,165,0
14830-075,F2,144,0,33,4696,1346389,218461,57941,31329,16306
14830-076,F2,160,0,0,2963,264922,270468,20135,7555,9712
14830-077,F2,37,0,39,2312,15841,131209,40055,15477,5099
14830-078,F2,125,0,34,8559,648550,477640,44189,34607,53615
14830-080,F2,135,0,0,2786,330001,102457,10904,4946,5377
14830-081,F2,101,0,0,959,116453,71650,6438,620,1618
14830-082,F2,102,0,40,1176,221740,280761,21977,12710,6641
14830-083,F2,42,0,0,157,68108,48066,1296,212,840
14830-084,F2,99,0,0,6250,1760564,274680,28493,26088,18735
14830-085,F2,79,0,0,741,240791,42645,1044,412,939
14830-089,F2,42,0,0,1263,266113,266118,17330,2768,5730
14830-090,F2,200,0,0,2426,450270,136960,27866,7648,4716
14830-091,F2,191,0,51,11578,389155,478584,59031,27886,31338
14830-092,F2,32,0,0,1992,154352,247133,10797,5868,4968
14830-093,F2,42,0,33,2145,265044,98699,20278,4305,4213
14830-094,F2,131,0,0,1210,417814,61641,15898,3795,3119
14830-095,F2,51,0,34,1484,201000,255715,17903,7339,2945
14830-096,F2,32,0,0,2386,217331,189586,9086,4682,1814
14830-098,F2,41,0,0,1069,5115,120883,11608,5665,4450
14830-099,F2,45,0,0,727,217594,226691,6923,3464,6690
14830-100,F2,56,0,0,3131,499008,63139,34689,9173,2535
14830-101,F2,55,16,0,2106,167888,294262,11969,1201,1638
14830-102,F2,50,2,77,2002,15621,401956,23873,9371,7762
14830-103,F2,19,0,0,642,110966,217303,11205,3669,3514
14830-104,F2,31,0,0,252,92182,55634,1313,675,540
14830-105,F2,243,35,110,15007,1308923,918661,20556,6727,37136
14830-106,F2,199,0,170,15338,1081975,302354,31871,19684,18598
14830-107,F2,83,0,0,1531,82212,48548,531,473,1108
14830-108,F2,148,0,0,3209,372996,292805,31540,4917,12553
14830-109,F2,42,0,0,1946,466485,120520,23014,5868,6389
14830-110,F2,32,0,31,1181,295439,228003,4670,2596,1901
14830-111,F2,150,0,43,3294,619864,126124,5345,2754,4293
14830-112,F2,116,0,36,1733,229655,127144,8979,1566,6847
14830-113,F2,104,0,0,463,178849,215553,5343,4290,1799
14830-114,F2,0,0,32,497,224571,166493,9254,10299,15423
14830-115,F2,175,0,63,4174,717960,160704,11944,31168,13971
14830-116,F2,37,0,0,768,100703,152316,18655,7125,6976
14830-117,F2,46,0,31,7903,540381,403327,41079,19419,15677
14830-118,F2,37,0,0,1830,64645,124257,12947,4423,5111
14830-119,F2,33,0,32,5995,219930,464808,50372,13511,13466
14830-120,F2,117,1,145,2164,552091,553917,121656,26018,15849
14830-121,F2,35,0,232,5399,530066,1138066,117353,21121,11053
14830-122,F2,36,0,41,1738,256241,483052,32972,29001,10475
14830-124,F2,85,0,0,1397,315478,211696,7788,1793,5172
14830-125,F2,53,0,0,155,138009,129654,25467,2283,2702
14830-126,F2,156,0,36,2008,842084,234807,27169,13896,11244
14830-127,F2,93,0,0,3366,111731,171505,38217,6296,6575
14830-128,F2,126,0,0,3218,294353,86939,17668,15047,17675
14830-129,F2,147,0,54,4365,576120,383192,105861,30449,18706
14830-130,F2,62,0,0,2282,403850,54812,4908,2547,3931
14830-131,F2,87,33,0,1416,171138,196029,30431,9102,8164
14830-132,F2,154,0,0,549,181589,123114,7821,3108,5734
14830-133,F2,135,0,37,933,228107,429052,40524,10116,8697
14830-134,F2,183,0,0,3971,195589,403556,40369,12016,12112
14830-135,F2,35,0,0,1064,78065,75188,31122,2849,3811
14830-136,F2,98,0,0,1727,201863,98048,4675,2102,1160
14830-137,F2,37,0,0,1056,281323,96530,8210,15513,5149
14830-138,F2,35,0,0,1047,142647,175445,31012,4648,1008
14830-139,F2,33,0,0,426,421748,114241,11381,4005,2328
14830-140,F2,100,0,0,1030,233592,93314,40346,667,7543
14830-141,F2,27,0,190,1636,324531,532222,53305,14854,20729
14830-142,F2,149,0,162,1098,22366,1449011,117147,11326,29520
14830-144,F2,59,0,563,24330,2288161,4891426,148607,78780,41731
